799-81-7582,Adam,Young,799-81-7582,Don.Young@insys.com,389-942-2106,Adam1,1,1
503-57-2111,Alcee,Everett,503-57-2111,Terry.Everett@insys.com,372-236-8675,Alcee2,3,1
316-37-0727,Ander,Aderholt,316-37-0727,robert.aderholt@insys.com,172-449-6996,Ander3,5,1
248-38-1929,Anna,Cramer,248-38-1929,budmail@insys.com,356-213-7545,Anna4,6,1
114-26-8294,Bob,Snyder,114-26-8294,snyder.congress@insys.com,565-702-6013,Bob5,10,1
881-04-7072,Brad,Faleomavaega,881-04-7072,faleomavaega@insys.com,739-613-1791,Brad6,13,1
394-46-4441,Calvin,Shadegg,394-46-4441,j.shadegg@insys.com,137-936-4000,Calvin7,16,1
395-05-7236,Christopher,Hayworth,395-05-7236,jdhayworth@insys.com,572-481-1281,Christopher8,18,1
245-69-5319,Adam,Bonner,245-69-5319,none,350-499-2664,Adam9,2,1
931-66-7224,Allen,Rogers,931-66-7224,none,993-758-8297,Allen10,4,1
250-84-6598,Artur,Bachus,250-84-6598,none,224-763-7817,Artur11,7,1
943-10-7728,Barbara,Davis,943-10-7728,none,420-964-9430,Barbara12,8,1
923-17-9463,Bill,Berry,923-17-9463,none,912-264-7465,Bill13,9,1
877-62-0058,Bob,Boozman,877-62-0058,none,462-991-5439,Bob14,11,1
572-27-2109,Bobby,Ross,572-27-2109,none,573-342-9429,Bobby15,12,1
086-29-0938,Bud,Renzi,086-29-0938,none,607-608-8374,Bud16,14,1
942-26-9222,C.W.,Franks,942-26-9222,none,437-680-2871,C.W.17,15,1
112-77-5979,Charles,Pastor,112-77-5979,none,790-161-1633,Charles18,17,1
271-99-8096,Christopher,Flake,271-99-8096,none,516-395-2922,Christopher19,19,1
605-23-9729,Clay,Grijalva,605-23-9729,none,262-860-8946,Clay20,20,1
396-70-1548,Dana,Ose,396-70-1548,doug.ose@insys.com,330-144-3504,Dana21,24,2
035-08-9037,Darrell,Doolittle,035-08-9037,doolittle@insys.com,168-480-9309,Darrell22,25,2
162-76-4083,David,Woolsey,162-76-4083,lynn.woolsey@insys.com,654-308-9291,David23,27,2
196-51-7696,David,Miller,196-51-7696,George.Miller@insys.com,717-781-4110,David24,28,2
808-04-3006,Denise,Pelosi,808-04-3006,sf.nancy@insys.com,746-297-7061,Denise25,29,2
638-76-0370,Diana,Pombo,638-76-0370,rpombo@insys.com,719-432-5875,Diana26,32,2
454-56-9432,Clement,Kolbe,454-56-9432,none,763-323-8861,Clement27,21,2
183-22-2529,Cliff,Thompson,183-22-2529,none,308-796-2281,Cliff28,22,2
030-09-6345,Corrine,Herger,030-09-6345,none,251-536-7420,Corrine29,23,2
311-82-5789,Dave,Matsui,311-82-5789,none,354-517-8678,Dave30,26,2
106-60-8111,Dennis,Lee,106-60-8111,none,938-460-5671,Dennis31,30,2
697-45-2458,Devin,Tauscher,697-45-2458,none,832-224-7907,Devin32,31,2
186-25-3082,Diane,Lantos,186-25-3082,none,847-583-1240,Diane33,33,2
495-76-6811,Don,Stark,495-76-6811,none,589-813-1676,Don34,34,2
486-95-4759,Doug,Eshoo,486-95-4759,none,839-880-5482,Doug35,35,2
028-22-3178,Duncan,Honda,028-22-3178,mike.honda@insys.com,770-236-9655,Duncan36,36,3
927-20-8703,Ed,Lofgren,927-20-8703,zoe.lofgren@insys.com,638-790-2740,Ed37,37,3
670-00-4463,Ed,Farr,670-00-4463,none,568-508-9554,Ed38,38,3
987-92-3600,Edward,Cardoza,987-92-3600,none,878-255-2530,Edward39,39,3
548-36-3805,Eleanor,Radanovich,548-36-3805,none,585-193-6132,Eleanor40,40,3
430-58-2808,Ellen,Dooley,430-58-2808,none,153-926-7374,Ellen41,41,3
985-87-4152,Elton,Nunes,985-87-4152,none,843-645-1698,Elton42,42,3
084-74-7272,Eni,Thomas,084-74-7272,none,431-493-6530,Eni43,43,3
428-42-9426,Gary,Capps,428-42-9426,none,454-982-4664,Gary44,44,3
535-26-3783,George,Gallegly,535-26-3783,none,522-822-3475,George45,45,3
367-26-7832,George,McKeon,367-26-7832,tellbuck@insys.com,970-594-4832,George46,46,4
703-04-6527,Hilda,Berman,703-04-6527,Howard.Berman@insys.com,166-580-8376,Hilda47,49,4
810-38-2892,Grace,Dreier,810-38-2892,none,935-233-2739,Grace48,47,4
595-28-9426,Henry,Sherman,595-28-9426,none,210-700-6826,Henry49,48,4
188-83-9753,Howard,Schiff,188-83-9753,none,319-166-9311,Howard50,50,5
562-12-5771,Howard,Waxman,562-12-5771,none,831-218-8578,Howard51,51,5
476-48-7199,Ileana,Becerra,476-48-7199,none,569-961-5038,Ileana52,52,5
926-36-0878,J.D.,Solis,926-36-0878,none,639-392-8972,J.D.53,53,6
048-30-3363,Jack,Watson,048-30-3363,none,292-747-8803,Jack54,54,6
734-76-7250,James,Roybal-Allard,734-76-7250,none,658-270-7033,James55,55,7
578-76-6678,James,Waters,578-76-6678,none,906-240-2974,James56,56,7
532-17-1903,Jane,Harman,532-17-1903,jane.harman@insys.com,390-177-4304,Jane57,57,8
905-25-8292,Jeff,Napolitano,905-25-8292,grace@insys.com,563-287-1316,Jeff58,58,8
188-84-2506,Jeffrey,Sanchez,188-84-2506,none,246-353-6120,Jeffrey59,59,9
538-74-5649,Jerry,Royce,538-74-5649,none,983-572-6777,Jerry60,60,10
484-14-2670,Joe,Rohrabacher,484-14-2670,dana@insys.com,657-272-2081,Joe61,66,11
420-22-8039,Joel,Sanchez,420-22-8039,loretta@insys.com,855-561-2850,Joel62,67,11
466-43-8980,John,Cox,466-43-8980,christopher.cox@insys.com,286-126-4723,John63,68,11
663-08-7647,Jesse,Lewis,663-08-7647,none,914-404-7960,Jesse64,61,11
768-79-1308,Jim,Miller,768-79-1308,none,772-873-7577,Jim65,62,11
502-56-0034,Jim,Baca,502-56-0034,none,277-513-1503,Jim66,63,11
940-87-5563,Jim,Calvert,940-87-5563,none,174-706-7976,Jim67,64,11
508-05-3336,Jo,Bono,508-05-3336,none,954-365-9675,Jo68,65,11
208-85-4521,John,Issa,208-85-4521,none,317-272-7254,John69,69,11
471-82-1508,John,Cunningham,471-82-1508,none,829-256-2976,John70,70,11
763-91-2329,John,Filner,763-91-2329,none,507-171-6019,John71,71,11
962-33-3648,John,Hunter,962-33-3648,none,303-844-4760,John72,72,11
025-36-3834,John,Davis,025-36-3834,none,960-122-8896,John73,73,11
